date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:29:41	4234/4234	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Dec%202020%2012:11:00%20GMT	https://preview.colorlib.com/theme/bootstrap/signup-form-19/index.html	C:/Users/DUC%20LUU/Downloads/sign%20up/preview.colorlib.com/theme/bootstrap/signup-form-19/index.html	(from )
00:29:42	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
00:29:42	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/DUC%20LUU/Downloads/sign%20up/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/bootstrap/signup-form-19/index.html)
00:29:42	222305/222305	---M-Z	200	added ('OK')	text/css	etag:%2236461-5b606f3ed91a1-gzip%22	https://preview.colorlib.com/theme/bootstrap/signup-form-19/css/style.css	C:/Users/DUC%20LUU/Downloads/sign%20up/preview.colorlib.com/theme/bootstrap/signup-form-19/css/style.css	(from https://preview.colorlib.com/theme/bootstrap/signup-form-19/index.html)
00:29:42	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Mon,%2008%20Apr%202024%2017:29:43%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/Users/DUC%20LUU/Downloads/sign%20up/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/bootstrap/signup-form-19/index.html)
00:29:43	254805/254805	---M--	200	added ('OK')	image/jpeg	etag:%223e355-5b606f48d6b3e%22	https://preview.colorlib.com/theme/bootstrap/signup-form-19/images/bg.jpg	C:/Users/DUC%20LUU/Downloads/sign%20up/preview.colorlib.com/theme/bootstrap/signup-form-19/images/bg.jpg	(from https://preview.colorlib.com/theme/bootstrap/signup-form-19/index.html)
00:29:43	88144/88144	---M-Z	200	added ('OK')	application/javascript	etag:%2215850-5b606f492f91b-gzip%22	https://preview.colorlib.com/theme/bootstrap/signup-form-19/js/jquery.min.js	C:/Users/DUC%20LUU/Downloads/sign%20up/preview.colorlib.com/theme/bootstrap/signup-form-19/js/jquery.min.js	(from https://preview.colorlib.com/theme/bootstrap/signup-form-19/index.html)
00:29:44	21003/21003	---M-Z	200	added ('OK')	application/javascript	etag:%22520b-5b606f496547a-gzip%22	https://preview.colorlib.com/theme/bootstrap/signup-form-19/js/popper.js	C:/Users/DUC%20LUU/Downloads/sign%20up/preview.colorlib.com/theme/bootstrap/signup-form-19/js/popper.js	(from https://preview.colorlib.com/theme/bootstrap/signup-form-19/index.html)
00:29:44	58072/58072	---M-Z	200	added ('OK')	application/javascript	etag:%22e2d8-5b606f48c32be-gzip%22	https://preview.colorlib.com/theme/bootstrap/signup-form-19/js/bootstrap.min.js	C:/Users/DUC%20LUU/Downloads/sign%20up/preview.colorlib.com/theme/bootstrap/signup-form-19/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/bootstrap/signup-form-19/index.html)
00:29:44	313/313	---M-Z	200	added ('OK')	application/javascript	etag:%22139-5b606f491ff1c-gzip%22	https://preview.colorlib.com/theme/bootstrap/signup-form-19/js/main.js	C:/Users/DUC%20LUU/Downloads/sign%20up/preview.colorlib.com/theme/bootstrap/signup-form-19/js/main.js	(from https://preview.colorlib.com/theme/bootstrap/signup-form-19/index.html)
